satzart,textkennzeichen,land,rb,kreis,vb,gemeinde,gemeindename,flaeche,bevoelkerung,maennlich,weiblich,jekm2,postleitzahl,laengengrad,breitengrad,schluessel,bezeichnung,verstaedterungschluessel,verstaedterungbezeichnung
10,,01,,,,,Schleswig-Holstein,,,,,,,,,,,,
40,41,01,0,01,,,"Flensburg, Stadt",,,,,,,,,,,,
50,50,01,0,01,0000,,"Flensburg, Stadt",,,,,,,,,,,,
60,61,01,0,01,0000,000,"Flensburg, Stadt", 53.02, 90 164, 44 904, 45 260, 1 701,24937,"9,43751","54,78252",F02,Ostsee,01,dicht besiedelt
40,41,01,0,02,,,"Kiel, Landeshauptstadt",,,,,,,,,,,,
50,50,01,0,02,0000,,"Kiel, Landeshauptstadt",,,,,,,,,,,,
60,61,01,0,02,0000,000,"Kiel, Landeshauptstadt", 118.65, 246 794, 120 198, 126 596, 2 080,24103,"10,13727","54,321775",F02,Ostsee,01,dicht besiedelt
40,41,01,0,03,,,"Lübeck, Hansestadt",,,,,,,,,,,,
50,50,01,0,03,0000,,"Lübeck, Hansestadt",,,,,,,,,,,,
60,61,01,0,03,0000,000,"Lübeck, Hansestadt", 214.19, 216 530, 104 032, 112 498, 1 011,23552,"10,683932","53,866269",F02,Ostsee,01,dicht besiedelt
40,41,01,0,04,,,"Neumünster, Stadt",,,,,,,,,,,,
50,50,01,0,04,0000,,"Neumünster, Stadt",,,,,,,,,,,,
60,61,01,0,04,0000,000,"Neumünster, Stadt", 71.66, 80 196, 39 723, 40 473, 1 119,24534,"9,988422","54,069895",F04,übrig. Schleswig-Holstein,01,dicht besiedelt
40,43,01,0,51,,,Dithmarschen,,,,,,,,,,,,
50,50,01,0,51,0011,,"Brunsbüttel, Stadt",,,,,,,,,,,,
60,63,01,0,51,0011,011,"Brunsbüttel, Stadt", 65.21, 12 380, 6 240, 6 140,  190,25541,"9,13735","53,896932",F01,Nordsee,02,mittlere Besiedlungsdichte
50,50,01,0,51,0044,,"Heide, Stadt",,,,,,,,,,,,
60,63,01,0,51,0044,044,"Heide, Stadt", 31.97, 21 852, 10 435, 11 417,  684,25746,"9,091156","54,193962",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,51,01,0,51,5163,,Burg-St. Michaelisdonn,,,,,,,,,,,,
60,64,01,0,51,5163,003,Averlak, 9.06,  554,  288,  266,  61,25715,"9,182663","53,941154",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,010,Brickeln, 6.07,  212,  114,  98,  35,25712,"9,221166","54,00849",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,012,Buchholz, 14.56,  998,  520,  478,  69,25712,"9,223774","53,987132",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,016,Burg (Dithmarschen), 11.25, 4 159, 2 033, 2 126,  370,25712,"9,26246","53,99748",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,022,Dingen, 7.01,  627,  329,  298,  89,25715,"9,125804","53,960888",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,024,Eddelak, 9.21, 1 330,  669,  661,  144,25715,"9,137433","53,945888",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,026,Eggstedt, 12.79,  756,  396,  360,  59,25721,"9,25927","54,054535",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,032,Frestedt, 10.33,  350,  182,  168,  34,25727,"9,175759","54,023639",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,037,Großenrade, 10.40,  454,  230,  224,  44,25712,"9,223435","54,02206",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,051,Hochdonn, 5.46, 1 059,  531,  528,  194,25712,"9,293145","54,019564",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,064,Kuden, 11.37,  601,  307,  294,  53,25712,"9,192822","53,967853",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,089,Quickborn, 6.95,  189,  94,  95,  27,25712,"9,206618","54,009984",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,097,Sankt Michaelisdonn, 23.06, 3 399, 1 665, 1 734,  147,25693,"9,122148","53,994438",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,110,Süderhastedt, 15.74,  755,  373,  382,  48,25727,"9,20886","54,04991",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,51,01,0,51,5166,,Marne-Nordsee,,,,,,,,,,,,
60,64,01,0,51,5166,021,Diekhusen-Fahrstedt, 7.46,  683,  330,  353,  92,25709,"9,023165","53,946249",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,034,Friedrichskoog, 53.27, 2 539, 1 283, 1 256,  48,25718,"8,89741","54,013926",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5166,046,Helse, 11.44,  828,  421,  407,  72,25709,"9,010226","53,977556",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,057,Kaiser-Wilhelm-Koog, 13.05,  348,  179,  169,  27,25709,"8,926364","53,942933",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5166,062,Kronprinzenkoog, 28.84,  803,  411,  392,  28,25709,"8,964528","53,97171",F01,Nordsee,03,gering besiedelt
60,63,01,0,51,5166,072,"Marne, Stadt", 4.83, 5 951, 2 865, 3 086, 1 232,25709,"9,008761","53,953695",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,073,Marnerdeich, 1.31,  396,  209,  187,  302,25709,"8,982956","53,948483",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,076,Neufeld, 10.40,  594,  301,  293,  57,25724,"9,019046","53,907224",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,077,Neufelderkoog, 9.77,  119,  64,  55,  12,25724,"8,968827","53,906958",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5166,090,Ramhusen, 4.80,  148,  75,  73,  31,25715,"9,090658","53,941207",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,103,Schmedeswurth, 5.91,  178,  97,  81,  30,25724,"9,040335","53,926172",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,118,Trennewurth, 7.79,  253,  136,  117,  32,25693,"9,025792","54,000236",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,119,Volsemenhusen, 16.78,  330,  182,  148,  20,25693,"9,065625","53,967901",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,55,01,0,51,5169,,Eider,,,,,,,,,,,,
60,64,01,0,51,5169,005,Barkenholm, 5.11,  163,  90,  73,  32,25791,"9,174339","54,237387",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,008,Bergewöhrden, 2.64,  36,  16,  20,  14,25779,"9,209426","54,318469",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,019,Dellstedt, 21.77,  736,  378,  358,  34,25786,"9,369143","54,237892",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,020,Delve, 15.84,  735,  372,  363,  46,25788,"9,252365","54,303978",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,023,Dörpling, 7.82,  618,  312,  306,  79,25794,"9,301925","54,260654",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,030,Fedderingen, 9.69,  280,  144,  136,  29,25779,"9,132642","54,281144",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,035,Gaushorn, 6.45,  173,  84,  89,  27,25782,"9,225318","54,194896",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,036,Glüsing, 4.69,  111,  57,  54,  24,25779,"9,216421","54,274547",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,038,Groven, 7.90,  84,  54,  30,  11,25774,"8,989147","54,300165",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,047,Hemme, 16.53,  493,  261,  232,  30,25774,"9,010966","54,28021",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,049,Hennstedt, 21.93, 1 975,  984,  991,  90,25779,"9,168248","54,283636",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,052,Hövede, 2.94,  60,  32,  28,  20,25782,"9,293409","54,243806",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,053,Hollingstedt, 9.74,  303,  145,  158,  31,25788,"9,226797","54,290548",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,058,Karolinenkoog, 17.55,  143,  77,  66,  8,25774,"8,965495","54,292554",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,060,Kleve, 12.81,  390,  197,  193,  30,25779,"9,123229","54,295706",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,061,Krempel, 4.82,  606,  304,  302,  126,25774,"9,027607","54,320019",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,065,Lehe, 18.63, 1 108,  545,  563,  59,25774,"9,025334","54,344168",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,068,Linden, 11.62,  866,  442,  424,  75,25791,"9,182428","54,252623",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,071,Lunden, 4.65, 1 701,  866,  835,  366,25774,"9,024249","54,330568",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,080,Norderheistedt, 4.33,  145,  74,  71,  33,25779,"9,146139","54,245331",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,088,Pahlen, 10.80, 1 138,  568,  570,  105,25794,"9,296387","54,267813",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,092,Rehm-Flehde-Bargen, 14.63,  515,  258,  257,  35,25776,"9,036287","54,303981",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,096,Sankt Annen, 14.89,  325,  173,  152,  22,25776,"9,07975","54,345413",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,100,Schalkholz, 12.52,  585,  294,  291,  47,25782,"9,257028","54,246244",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,102,Schlichting, 12.50,  236,  122,  114,  19,25779,"9,089378","54,31014",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,114,Tellingstedt, 21.10, 2 678, 1 311, 1 367,  127,25782,"9,2822","54,219944",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,117,Tielenhemme, 12.68,  161,  76,  85,  13,25794,"9,398414","54,27746",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,120,Wallen, 1.86,  32,  15,  17,  17,25788,"9,269563","54,284766",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,125,Welmbüttel, 7.60,  428,  210,  218,  56,25782,"9,246826","54,196873",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,131,Westerborstel, 4.14,  95,  44,  51,  23,25782,"9,260601","54,220127",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,133,Wiemerstedt, 5.08,  151,  77,  74,  30,25779,"9,11111","54,269259",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,136,Wrohm, 11.45,  706,  371,  335,  62,25799,"9,379505","54,212642",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,139,Süderdorf, 16.21,  345,  177,  168,  21,25782,"9,343678","54,220732",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5169,141,Süderheistedt, 8.44,  537,  266,  271,  64,25779,"9,148463","54,23483",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,55,01,0,51,5172,,Heider Umland,,,,,,,,,,,,
60,64,01,0,51,5172,048,Hemmingstedt, 16.01, 2 878, 1 424, 1 454,  180,25770,"9,073156","54,14876",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,067,Lieth, 4.66,  372,  166,  206,  80,25770,"9,060773","54,15531",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,069,Lohe-Rickelshof, 5.39, 2 095,  992, 1 103,  389,25746,"9,065603","54,187725",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5172,075,Neuenkirchen, 25.14,  949,  494,  455,  38,25792,"8,987884","54,235602",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,081,Norderwöhrden, 18.47,  257,  140,  117,  14,25746,"9,000232","54,192783",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,082,Nordhastedt, 26.56, 2 827, 1 418, 1 409,  106,25785,"9,182991","54,17205",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,087,Ostrohe, 6.66,  915,  464,  451,  137,25746,"9,130804","54,214",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,107,Stelle-Wittenwurth, 10.71,  413,  195,  218,  39,25795,"9,066849","54,254357",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,113,Wöhrden, 21.77, 1 260,  628,  632,  58,25797,"8,994508","54,165463",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,122,Weddingstedt, 17.89, 2 303, 1 144, 1 159,  129,25795,"9,088863","54,239275",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5172,130,Wesseln, 3.76, 1 433,  710,  723,  381,25746,"9,075443","54,208327",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,51,01,0,51,5175,,Mitteldithmarschen,,,,,,,,,,,,
60,64,01,0,51,5175,001,Albersdorf, 17.12, 3 708, 1 812, 1 896,  217,25767,"9,283995","54,146557",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,002,Arkebek, 6.92,  223,  115,  108,  32,25767,"9,250362","54,160197",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,004,Bargenstedt, 11.90,  962,  464,  498,  81,25704,"9,144199","54,095594",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,006,Barlt, 22.88,  752,  370,  382,  33,25719,"9,058002","54,012444",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5175,015,Bunsoh, 11.75,  777,  389,  388,  66,25767,"9,320225","54,165522",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,017,Busenwurth, 10.09,  310,  157,  153,  31,25719,"9,041298","54,041407",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5175,027,Elpersbüttel, 30.17,  844,  432,  412,  28,25704,"9,047156","54,072963",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5175,028,Epenwöhrden, 13.52,  766,  378,  388,  57,25704,"9,052894","54,112805",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,039,Gudendorf, 6.04,  390,  195,  195,  65,25693,"9,1082","54,024736",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,054,Immenstedt, 3.09,  97,  40,  57,  31,25767,"9,299737","54,180686",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,063,Krumstedt, 15.89,  471,  237,  234,  30,25727,"9,177954","54,068684",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,63,01,0,51,5175,074,"Meldorf, Stadt", 21.26, 7 247, 3 463, 3 784,  341,25704,"9,068784","54,090945",F01,Nordsee,02,mittlere Besiedlungsdichte
60,64,01,0,51,5175,078,Nindorf, 8.75, 1 153,  582,  571,  132,25704,"9,114943","54,086722",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,083,Odderade, 11.27,  323,  155,  168,  29,25785,"9,190795","54,139384",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,085,Offenbüttel, 13.95,  251,  121,  130,  18,25767,"9,357994","54,169186",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,086,Osterrade, 17.09,  413,  211,  202,  24,25767,"9,353264","54,190212",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,098,Sarzbüttel, 13.39,  696,  357,  339,  52,25785,"9,184289","54,118971",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,099,Schafstedt, 18.16, 1 248,  605,  643,  69,25725,"9,293675","54,079915",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,104,Schrum, 5.01,  72,  36,  36,  14,25782,"9,251667","54,187229",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,126,Wennbüttel, 4.59,  84,  41,  43,  18,25767,"9,3225","54,138606",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,134,Windbergen, 17.31,  792,  405,  387,  46,25729,"9,117779","54,044978",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,135,Wolmersdorf, 6.11,  317,  160,  157,  52,25704,"9,103978","54,077114",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5175,137,Nordermeldorf, 34.10,  604,  319,  285,  18,25704,"9,013736","54,112068",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5175,138,Tensbüttel-Röst, 19.36,  670,  331,  339,  35,25767,"9,228605","54,105741",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,51,01,0,51,5178,,Büsum-Wesselburen,,,,,,,,,,,,
60,64,01,0,51,5178,013,Büsum, 8.48, 4 907, 2 301, 2 606,  579,25761,"8,859577","54,130341",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,014,Büsumer Deichhausen, 2.87,  358,  165,  193,  125,25761,"8,890088","54,136175",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,033,Friedrichsgabekoog, 8.62,  53,  29,  24,  6,25764,"8,941082","54,157516",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,043,Hedwigenkoog, 16.36,  214,  108,  106,  13,25761,"8,840953","54,177985",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,045,Hellschen-Heringsand-Unterschaar, 7.02,  167,  93,  74,  24,25764,"8,872882","54,194536",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,050,Hillgroven, 3.60,  58,  35,  23,  16,25764,"8,874901","54,227921",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,079,Norddeich, 6.90,  395,  204,  191,  57,25764,"8,899964","54,218049",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,084,Oesterdeichstrich, 4.64,  275,  140,  135,  59,25761,"8,900566","54,158891",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,093,Reinsbüttel, 6.83,  384,  198,  186,  56,25764,"8,911057","54,179073",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,105,Schülp, 9.27,  396,  206,  190,  43,25764,"8,929943","54,241971",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,108,Strübbel, 4.40,  85,  36,  49,  19,25792,"8,971812","54,260389",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,109,Süderdeich, 6.64,  472,  231,  241,  71,25764,"8,91131","54,201711",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,121,Warwerort, 4.58,  235,  122,  113,  51,25761,"8,921723","54,141177",F01,Nordsee,03,gering besiedelt
60,63,01,0,51,5178,127,"Wesselburen, Stadt", 5.13, 3 415, 1 641, 1 774,  666,25764,"8,920686","54,212159",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,128,Wesselburener Deichhausen, 5.07,  104,  50,  54,  21,25764,"8,937237","54,174947",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5178,129,Wesselburenerkoog, 21.89,  178,  94,  84,  8,25764,"8,876475","54,239438",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,132,Westerdeichstrich, 7.50,  874,  425,  449,  117,25761,"8,863517","54,162006",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5178,140,Oesterwurth, 14.19,  248,  135,  113,  17,25764,"8,991292","54,211016",F04,übrig. Schleswig-Holstein,03,gering besiedelt
40,43,01,0,53,,,Herzogtum Lauenburg,,,,,,,,,,,,
50,50,01,0,53,0032,,"Geesthacht, Stadt",,,,,,,,,,,,
60,63,01,0,53,0032,032,"Geesthacht, Stadt", 33.25, 30 688, 15 100, 15 588,  923,21502,"10,371785","53,433626",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,50,01,0,53,0083,,"Lauenburg/ Elbe, Stadt",,,,,,,,,,,,
60,63,01,0,53,0083,083,"Lauenburg/ Elbe, Stadt", 9.56, 11 402, 5 711, 5 691, 1 193,21481,"10,554267","53,374189",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,50,01,0,53,0090,,"Mölln, Stadt",,,,,,,,,,,,
60,63,01,0,53,0090,090,"Mölln, Stadt", 25.05, 19 131, 9 115, 10 016,  764,23879,"10,691022","53,629521",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,50,01,0,53,0100,,"Ratzeburg, Stadt",,,,,,,,,,,,
60,63,01,0,53,0100,100,"Ratzeburg, Stadt", 30.29, 14 525, 6 863, 7 662,  480,23909,"10,774492","53,699024",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,50,01,0,53,0116,,"Schwarzenbek, Stadt",,,,,,,,,,,,
60,63,01,0,53,0116,116,"Schwarzenbek, Stadt", 11.55, 16 551, 8 161, 8 390, 1 433,21493,"10,477663","53,502645",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,50,01,0,53,0129,,Wentorf bei Hamburg,,,,,,,,,,,,
60,64,01,0,53,0129,129,Wentorf bei Hamburg, 6.87, 13 439, 6 426, 7 013, 1 956,21465,"10,2519","53,491012",F04,übrig. Schleswig-Holstein,01,dicht besiedelt
50,51,01,0,53,5308,,Berkenthin,,,,,,,,,,,,
60,64,01,0,53,5308,008,Behlendorf, 10.25,  381,  186,  195,  37,23919,"10,667846","53,699475",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,009,Berkenthin, 10.34, 2 082, 1 018, 1 064,  201,23919,"10,638221","53,734488",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,011,Bliestorf, 10.35,  663,  321,  342,  64,23847,"10,602527","53,768797",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,024,Düchelsdorf, 3.01,  166,  86,  80,  55,23847,"10,580373","53,737072",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,034,Göldenitz, 5.06,  228,  115,  113,  45,23919,"10,631501","53,722025",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,061,Kastorf, 6.90, 1 105,  553,  552,  160,23847,"10,570134","53,748875",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,067,Klempau, 10.07,  611,  331,  280,  61,23628,"10,660387","53,762851",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,075,Krummesse, 3.35, 1 718,  813,  905,  513,23628,"10,641961","53,780123",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,094,Niendorf bei Berkenthin, 3.99,  196,  92,  104,  49,23919,"10,626158","53,702417",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,103,Rondeshagen, 9.51,  812,  410,  402,  85,23919,"10,629717","53,753642",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5308,120,Sierksrade, 4.00,  433,  236,  197,  108,23847,"10,600344","53,736555",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,51,01,0,53,5313,,Breitenfelde,,,,,,,,,,,,
60,64,01,0,53,5313,002,Alt-Mölln, 6.44,  848,  426,  422,  132,23881,"10,658165","53,622775",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,53,5313,005,Bälau, 6.50,  230,  106,  124,  35,23881,"10,621739","53,616381",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,013,Borstorf, 8.64,  300,  143,  157,  35,23881,"10,564234","53,613074",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,014,Breitenfelde, 12.54, 1 953,  975,  978,  156,23881,"10,632977","53,605112",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,53,5313,037,Grambek, 12.66,  492,  239,  253,  39,23883,"10,68068","53,574025",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,056,Hornbek, 5.89,  188,  91,  97,  32,21514,"10,648548","53,5589",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,084,Lehmrade, 11.40,  594,  303,  291,  52,23883,"10,752721","53,5947",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,095,Niendorf/ Stecknitz, 8.41,  653,  319,  334,  78,23881,"10,609244","53,587228",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,113,Schretstaken, 8.47,  489,  256,  233,  58,21493,"10,539293","53,586533",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,125,Talkau, 4.88,  516,  268,  248,  106,21493,"10,568741","53,576852",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5313,134,Woltersdorf, 7.90,  305,  161,  144,  39,21516,"10,640176","53,576862",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,51,01,0,53,5318,,Büchen,,,,,,,,,,,,
60,64,01,0,53,5318,010,Besenthal, 12.65,  92,  48,  44,  7,23899,"10,743239","53,530139",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5318,015,Bröthen, 10.69,  311,  157,  154,  29,21514,"10,667034","53,480281",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5318,020,Büchen, 16.85, 6 093, 2 998, 3 095,  362,21514,"10,616482","53,480926",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5318,029,Fitzen, 9.11,  364,  192,  172,  40,21514,"10,64667","53,493942",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5318,035,Göttin, 5.21,  65,  29,  36,  12,21514,"10,70343","53,533746",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,53,5318,046,Gudow, 42.25, 1 672,  852,  820,  40,23899,"10,77219","53,555336",F04,übrig. Schleswig-Holstein,03,gering besiedelt
